"subject","activity","feature","measurement"
1,"walking","tBodyAccmeanX",0.277330758736842
1,"walking_upstairs","tBodyAccmeanX",0.255461689622641
1,"walking_downstairs","tBodyAccmeanX",0.289188320408163
1,"sitting","tBodyAccmeanX",0.261237565425532
1,"standing","tBodyAccmeanX",0.278917629056604
1,"laying","tBodyAccmeanX",0.22159824394
2,"walking","tBodyAccmeanX",0.276426586440678
2,"walking_upstairs","tBodyAccmeanX",0.247164790395833
2,"walking_downstairs","tBodyAccmeanX",0.27761534806383
2,"sitting","tBodyAccmeanX",0.27708735173913
2,"standing","tBodyAccmeanX",0.277911472222222
2,"laying","tBodyAccmeanX",0.281373403958333
3,"walking","tBodyAccmeanX",0.275567462068966
3,"walking_upstairs","tBodyAccmeanX",0.260819873067797
3,"walking_downstairs","tBodyAccmeanX",0.292423484693878
3,"sitting","tBodyAccmeanX",0.257197599134615
3,"standing","tBodyAccmeanX",0.280046513278689
3,"laying","tBodyAccmeanX",0.275516852741935
4,"walking","tBodyAccmeanX",0.278582015166667
4,"walking_upstairs","tBodyAccmeanX",0.270876696730769
4,"walking_downstairs","tBodyAccmeanX",0.279965329555556
4,"sitting","tBodyAccmeanX",0.27153827992
4,"standing","tBodyAccmeanX",0.280499745892857
4,"laying","tBodyAccmeanX",0.263559214981481
5,"walking","tBodyAccmeanX",0.27784234625
5,"walking_upstairs","tBodyAccmeanX",0.268459469914894
5,"walking_downstairs","tBodyAccmeanX",0.29354392712766
5,"sitting","tBodyAccmeanX",0.273694139545455
5,"standing","tBodyAccmeanX",0.282544390892857
5,"laying","tBodyAccmeanX",0.278334325576923
6,"walking","tBodyAccmeanX",0.283658868070175
6,"walking_upstairs","tBodyAccmeanX",0.268229355098039
6,"walking_downstairs","tBodyAccmeanX",0.277045258145833
6,"sitting","tBodyAccmeanX",0.276778487454545
6,"standing","tBodyAccmeanX",0.280346248596491
6,"laying","tBodyAccmeanX",0.248656520140351
7,"walking","tBodyAccmeanX",0.275592961754386
7,"walking_upstairs","tBodyAccmeanX",0.248706923078431
7,"walking_downstairs","tBodyAccmeanX",0.28030708
7,"sitting","tBodyAccmeanX",0.284674637291667
7,"standing","tBodyAccmeanX",0.282723539433962
7,"laying","tBodyAccmeanX",0.250176694038462
8,"walking","tBodyAccmeanX",0.27468631
8,"walking_upstairs","tBodyAccmeanX",0.258880152048781
8,"walking_downstairs","tBodyAccmeanX",0.283484089210526
8,"sitting","tBodyAccmeanX",0.267491472934783
8,"standing","tBodyAccmeanX",0.279620986111111
8,"laying","tBodyAccmeanX",0.261254282907407
9,"walking","tBodyAccmeanX",0.278502842115385
9,"walking_upstairs","tBodyAccmeanX",0.262436475714286
9,"walking_downstairs","tBodyAccmeanX",0.295923445
9,"sitting","tBodyAccmeanX",0.24832674354
9,"standing","tBodyAccmeanX",0.282310057333333
9,"laying","tBodyAccmeanX",0.2591955368
10,"walking","tBodyAccmeanX",0.278574076603774
10,"walking_upstairs","tBodyAccmeanX",0.267121853404255
10,"walking_downstairs","tBodyAccmeanX",0.290401594315789
10,"sitting","tBodyAccmeanX",0.270612056481481
10,"standing","tBodyAccmeanX",0.276650300681818
10,"laying","tBodyAccmeanX",0.280230574137931
11,"walking","tBodyAccmeanX",0.271821892881356
11,"walking_upstairs","tBodyAccmeanX",0.263775859277778
11,"walking_downstairs","tBodyAccmeanX",0.291605631956522
11,"sitting","tBodyAccmeanX",0.276590197358491
11,"standing","tBodyAccmeanX",0.277715562765957
11,"laying","tBodyAccmeanX",0.280592970877193
12,"walking","tBodyAccmeanX",0.2771286656
12,"walking_upstairs","tBodyAccmeanX",0.272970338653846
12,"walking_downstairs","tBodyAccmeanX",0.281521097391304
12,"sitting","tBodyAccmeanX",0.275007224901961
12,"standing","tBodyAccmeanX",0.277405834918033
12,"laying","tBodyAccmeanX",0.260113433
13,"walking","tBodyAccmeanX",0.275883130350877
13,"walking_upstairs","tBodyAccmeanX",0.258203939581818
13,"walking_downstairs","tBodyAccmeanX",0.294907553404255
13,"sitting","tBodyAccmeanX",0.274328499591837
13,"standing","tBodyAccmeanX",0.277758431052632
13,"laying","tBodyAccmeanX",0.276716360483871
14,"walking","tBodyAccmeanX",0.271959598644068
14,"walking_upstairs","tBodyAccmeanX",0.26242106612963
14,"walking_downstairs","tBodyAccmeanX",0.293422115555556
14,"sitting","tBodyAccmeanX",0.279990577037037
14,"standing","tBodyAccmeanX",0.280545613833333
14,"laying","tBodyAccmeanX",0.233275439803922
15,"walking","tBodyAccmeanX",0.273899207962963
15,"walking_upstairs","tBodyAccmeanX",0.270187595833333
15,"walking_downstairs","tBodyAccmeanX",0.280198851190476
15,"sitting","tBodyAccmeanX",0.27290337979661
15,"standing","tBodyAccmeanX",0.278915803962264
15,"laying","tBodyAccmeanX",0.2894756525
16,"walking","tBodyAccmeanX",0.276023564509804
16,"walking_upstairs","tBodyAccmeanX",0.255986102627451
16,"walking_downstairs","tBodyAccmeanX",0.295586802191489
16,"sitting","tBodyAccmeanX",0.280768574492754
16,"standing","tBodyAccmeanX",0.283497402948718
16,"laying","tBodyAccmeanX",0.274227162571429
17,"walking","tBodyAccmeanX",0.272341855245902
17,"walking_upstairs","tBodyAccmeanX",0.252604768583333
17,"walking_downstairs","tBodyAccmeanX",0.29391828326087
17,"sitting","tBodyAccmeanX",0.2773570196875
17,"standing","tBodyAccmeanX",0.277942503333333
17,"laying","tBodyAccmeanX",0.269780085577465
18,"walking","tBodyAccmeanX",0.273887758571429
18,"walking_upstairs","tBodyAccmeanX",0.265401201896552
18,"walking_downstairs","tBodyAccmeanX",0.288439468909091
18,"sitting","tBodyAccmeanX",0.27727001877193
18,"standing","tBodyAccmeanX",0.278458805890411
18,"laying","tBodyAccmeanX",0.274691576923077
19,"walking","tBodyAccmeanX",0.273931172307692
19,"walking_upstairs","tBodyAccmeanX",0.242118808925
19,"walking_downstairs","tBodyAccmeanX",0.262688053871795
19,"sitting","tBodyAccmeanX",0.273830316164384
19,"standing","tBodyAccmeanX",0.27817226
19,"laying","tBodyAccmeanX",0.272653733493976
20,"walking","tBodyAccmeanX",0.272589336470588
20,"walking_upstairs","tBodyAccmeanX",0.252098317156863
20,"walking_downstairs","tBodyAccmeanX",0.296144421355556
20,"sitting","tBodyAccmeanX",0.278045439090909
20,"standing","tBodyAccmeanX",0.278076904657534
20,"laying","tBodyAccmeanX",0.239507882205882
21,"walking","tBodyAccmeanX",0.279183526730769
